,tc,family,cf,order
151402.cif,0.925,others,Mg1Zn1,order
Li1P2H14.cif,169.0,h_based,Li1P2H14,order
612010.cif,0.0238,others,Au0.92In0.08,disorder
74110.cif,26.9,cuprate,Ba0.17Cu1La1.83O4,disorder
104319.cif,4.0,others,Hg2Mg1,order
Fe1H5.cif,45.8,h_based,Fe1H5,order
168767.cif,12.7,iron-based,Fe1.02Se0.15Te0.85,disorder
74166.cif,84.5,cuprate,Ca1Cu2O7Pb0.5Sr2Tl0.5,disorder
608584.cif,0.58,others,Mo3Al1,order
72265.cif,22.1,cuprate,Ce0.5Cu2Nb1Nd1.5O10Sr2,disorder
185000.cif,0.41,others,Pd1Sn1,order
53900.cif,2.116667,others,Y3Ru4Ge13,order
184647.cif,25.061538,iron-based,As1F0.1Fe1La1O0.9,disorder
600058.cif,3.15,others,Ta1Ru1Si1,order
239393.cif,7.666667,others,Na0.33V2O5,disorder
26573.cif,23.2,others,Nb3Ge1,order
637963.cif,2.3,others,Ta1Ge2,order
604082.cif,4.6,others,Pb3Zr5,order
606044.cif,0.0555,others,Al0.04Au0.92In0.04,disorder
Tb1H2.cif,8.06,h_based,Tb1H2,order
168586.cif,17.0,iron-based,Sc2Sr4Fe2P2O6,order
104729.cif,5.15,others,La0.8Th0.2,disorder
603982.cif,1.1,heavy-Fermion,Th1Os2Si2,order
40795.cif,3.933333,heavy-Fermion,La1Ru2P2,order
164763.cif,2.97,others,Mo3Sb7,order
291808.cif,8.5,others,C0.1N0.9Nb1,disorder
H1Te1.cif,44.2,h_based,H1Te1,order
247662.cif,2.6,heavy-Fermion,La1Ni2P2,order
189034.cif,36.85,iron-based,Ba0.7K0.3Fe2As2,disorder
104033.cif,2.0,others,Y1Ga6,order
66051.cif,108.0,cuprate,Bi1.6Ca2Cu3O10Pb0.4Sr2,disorder
104265.cif,0.865,others,Hf1Rh1,order
647009.cif,0.54,heavy-Fermion,Ni1U6,order
173908.cif,69.0,cuprate,Ba2Cu2.7Fe0.3O7.1Y1,disorder
104655.cif,5.343,others,La1,order
637920.cif,8.7,others,Ge0.4Si0.6V3,disorder
52284.cif,1.77,others,Au2Bi1,order
Ce1H9.cif,117.0,h_based,Ce1H9,order
196227.cif,3.8,others,Ta5B2Ge1,order
184635.cif,11.5,iron-based,Fe1Se0.075Te0.925,disorder
153662.cif,4.425,heavy-Fermion,Lu2Ir3Si5,order
181437.cif,15.966667,iron-based,As1Co0.1Fe0.9O1Sm1,disorder
641013.cif,2.215,heavy-Fermion,Th1Ir2Si2,order
181435.cif,2.565,iron-based,As1Co0.05Fe0.95O1Sm1,disorder
290595.cif,11.0,iron-based,Ba1Fe2Se3,order
