,tc,family,cf,order
608584.cif,0.58,others,Mo3Al1,order
260033.cif,1.4,heavy-Fermion,La3Pd5Si1,order
28445.cif,1.102857,others,Re2Cd2O7,order
640011.cif,1.5,others,Mo15In2Se19,order
642022.cif,1.48,others,La1Te1,order
150541.cif,0.44,heavy-Fermion,Th1Pt1,order
616438.cif,5.21,others,Be22Tc1,order
103902.cif,2.87,others,Zr1Ni2Ga1,order
671780.cif,3.1,others,Hf1B1,order
Sc1H9.cif,180.0,h_based,Sc1H9,order
H2V1.cif,0.5,h_based,H2V1,order
42118.cif,2.22375,others,Cu1Se2,order
106082.cif,3.33,heavy-Fermion,Th1Sn3,order
617008.cif,2.04,others,Bi1Rh1,order
188287.cif,7.5,others,Nb2In1C1,order
70020.cif,0.30475,others,K1C8,order
195017.cif,1.835,others,Pt2Ba1Sb2,order
648009.cif,1.525,others,Zr1Rh1P1,order
650522.cif,0.19,others,Rh1V3,order
168134.cif,0.8825,others,Sr1Ni2Ge2,order
44655.cif,1.2,others,In3Te4,order
H2Sc1.cif,4.0,h_based,H2Sc1,order
78622.cif,79.42,cuprate,Ba2Cu4O8Tm1,order
657339.cif,0.58,others,Rh1As1,order
174552.cif,8.253333,heavy-Fermion,La1Pt4Ge12,order
44861.cif,0.48,others,Rh1Ge1,order
648003.cif,4.635,others,Ta1Rh1P1,order
603451.cif,1.6,others,Gd1Mo6S8,order
337.cif,1.48,others,Y3Rh2,order
248481.cif,0.9,heavy-Fermion,La1Pt1Bi1,order
601565.cif,6.496667,others,Yb1C6,order
58722.cif,2.3,others,Be2Nb3,order
H3Sc1.cif,1.0,h_based,H3Sc1,order
649677.cif,1.19,others,Pt1Sn4,order
647731.cif,1.60125,heavy-Fermion,Pr1Os4Sb12,order
619114.cif,14.85625,others,Y2C3,order
672491.cif,1.0,others,Fe1,order
618149.cif,10.66,others,La2C3,order
H8Sn1.cif,72.0,h_based,H8Sn1,order
671418.cif,3.35,others,Zr3Ni1,order
628214.cif,0.021,heavy-Fermion,La1Cu6,order
246431.cif,9.465833,heavy-Fermion,B2C1Er1Ni2,order
650389.cif,4.216667,others,Sr3Rh4Sn13,order
191970.cif,0.394,heavy-Fermion,La2Ni1Ge3,order
622571.cif,2.6,others,Co2Cu1S4,order
41090.cif,2.75,others,Nb1Sn1.17S3.17,order
412573.cif,0.93,others,Ir1Sn4,order
609676.cif,0.94,heavy-Fermion,Yb1Al3,order
23578.cif,9.0,others,Zr1Ru1Ge1,order
615126.cif,1.34,others,Sc1Os1B2,order
53035.cif,11.796667,others,Hf1Ru1P1,order
259535.cif,4.7,others,Y1B12,order
164574.cif,9.659,heavy-Fermion,Tm1Ni2B2C1,order
76162.cif,3.5375,others,Sr1,order
602358.cif,1.4,others,K1Cu4S3,order
103816.cif,0.76,others,Mo3Ga1,order
104376.cif,3.28,others,Hg3Zr1,order
58854.cif,1.966667,others,Bi4Rh1,order
104319.cif,4.0,others,Hg2Mg1,order
616431.cif,1.0,others,Ta3Be2,order
618656.cif,1.47,others,U2Pt1C2,order
601623.cif,0.39,heavy-Fermion,La1Pd2Si2,order
658326.cif,0.37,others,Pt1Sn1,order
621980.cif,5.998273,heavy-Fermion,Ce1Ru2,order
197927.cif,1.17,heavy-Fermion,Er1Pd2Sn1,order
58589.cif,0.9,others,Au5Sn1,order
154982.cif,11.872727,others,Li1Ti2O4,order
H3Se1.cif,110.0,h_based,H3Se1,order
648834.cif,1.1,others,Pd17Se15,order
105625.cif,1.85,others,Pb3Sr1,order
642439.cif,2.2,others,Lu1Mo6S8,order
189724.cif,1.3,heavy-Fermion,La1Pd2Sb2,order
671587.cif,1.073333,heavy-Fermion,La1Ag1,order
52284.cif,1.77,others,Au2Bi1,order
641054.cif,0.715,others,Ir1Sn2,order
641110.cif,5.185,others,Ir1Ti3,order
600676.cif,6.0,others,Yb1Mo6Se8,order
641650.cif,2.2,heavy-Fermion,La3Pb13Rh4,order
Ge3H11.cif,43.0,h_based,Ge3H11,order
150516.cif,2.23,others,Y1Ru2,order
619112.cif,3.895429,others,Y1C2,order
430063.cif,4.6,others,Bi2Ba1Ti2O1,order
642029.cif,4.0275,others,La3Te4,order
641938.cif,8.326,others,La3Se4,order
650176.cif,7.05,others,Re0.83Ti0.17,order
241784.cif,0.004157,others,Pt1,order
262809.cif,91.7375,cuprate,Ba2Cu3O6.93Y1,order
104313.cif,0.935,others,Hg1Mg1,order
640758.cif,2.3,heavy-Fermion,La1Ir1Si1,order
650136.cif,1.76,others,Y2Re3Si5,order
103677.cif,3.88875,heavy-Fermion,U6Fe1,order
423220.cif,8.8,others,Y1Tc2,order
196332.cif,8.1425,others,Ba8Si46,order
263005.cif,4.63,others,Y1Si3,order
603067.cif,0.14,heavy-Fermion,Ce1Pt1Si2,order
106849.cif,0.216667,heavy-Fermion,Ce1Ni2Ge2,order
647009.cif,0.54,heavy-Fermion,Ni1U6,order
407549.cif,0.095,others,Rh1In3,order
657574.cif,1.864,heavy-Fermion,U1Pd2Al3,order
76293.cif,2.6,others,Y3Pt4Ge6,order
637720.cif,0.244,heavy-Fermion,U1Rh1Ge1,order
195012.cif,4.8,others,Rb2Cr3As3,order
645476.cif,2.435,others,Nb6Sn5,order
650661.cif,1.1,others,Y1Ru2Si2,order
649556.cif,2.1,others,Pt1Sb1,order
604082.cif,4.6,others,Pb3Zr5,order
604623.cif,1.658,heavy-Fermion,La1Rh2Si2,order
253810.cif,7.7,others,W1Rb0.33O3,order
181396.cif,5.083333,others,Pt2Sr1As2,order
672132.cif,1.306667,others,Co1Si2,order
672464.cif,6.666666667,others,Si1,order
650413.cif,6.2,others,Sr1Rh2,order
H1Cl1.cif,20.0,h_based,H1Cl1,order
629361.cif,0.2,heavy-Fermion,Th1Cu6,order
68028.cif,0.39,others,Sc1B12,order
640764.cif,1.198333,heavy-Fermion,La1Ir2Si2,order
76559.cif,7.7,others,Nb4Ni1Si1,order
H3S1.cif,203.0,h_based,H3S1,order
68444.cif,0.066,others,Ag2F1,order
641033.cif,2.906667,others,Y5Ir4Si10,order
670941.cif,4.75,others,Bi2Cs1,order
K1H6.cif,69.8,h_based,K1H6,order
H4Y1.cif,95.0,h_based,H4Y1,order
645437.cif,0.345,others,Nb5Si3,order
H4Te1.cif,104.0,h_based,H4Te1,order
40760.cif,2.7,others,Y2Rh3Si5,order
641204.cif,7.365,others,Ir1Zr2,order
601533.cif,0.7,heavy-Fermion,Ho1Rh4B4,order
264386.cif,1.533333,others,Ce1Bi1O1S2,order
104033.cif,2.0,others,Y1Ga6,order
173375.cif,1.86,others,B1I3,order
58942.cif,2.04,others,Tl3Ca1,order
674395.cif,1.5975,others,Os1B2,order
636939.cif,2.3,heavy-Fermion,Lu3Ru4Ge13,order
77939.cif,1.96,heavy-Fermion,La1Ni1B1N1,order
107019.cif,9.61,heavy-Fermion,La3In1,order
153662.cif,4.425,heavy-Fermion,Lu2Ir3Si5,order
615399.cif,7.7,others,Y1Ru1B2,order
16306.cif,9.733333,others,Zr1Ru1Si1,order
673097.cif,2.25,others,Bi1Na1,order
600489.cif,3.175,others,Bi3Rh1,order
189036.cif,2.9965,iron-based,K1Fe2As2,order
